Year,Entidad federativa,Trabajo doméstico_entidad federativa,GeoCode,Value
2019,Estados Unidos Mexicanos,Mujeres de 15 años y más,0,27.76824633536
2019,Estados Unidos Mexicanos,Hombres de 15 años y más,0,11.11166506606
2019,Aguascalientes,Mujeres de 15 años y más,1,27.70245103104
2019,Aguascalientes,Hombres de 15 años y más,1,10.91711878219
2019,Baja California,Mujeres de 15 años y más,2,25.23602272418
2019,Baja California,Hombres de 15 años y más,2,11.68375545332
2019,Baja California Sur,Mujeres de 15 años y más,3,27.8223326183
2019,Baja California Sur,Hombres de 15 años y más,3,12.00174135156
2019,Campeche,Mujeres de 15 años y más,4,27.855000061519995
2019,Campeche,Hombres de 15 años y más,4,13.09596484635
2019,Coahuila de Zaragoza,Mujeres de 15 años y más,5,30.53030975151
2019,Coahuila de Zaragoza,Hombres de 15 años y más,5,12.9324075262
2019,Colima,Mujeres de 15 años y más,6,27.06912308891
2019,Colima,Hombres de 15 años y más,6,11.39038888833
2019,Chiapas,Mujeres de 15 años y más,7,31.34215047415
2019,Chiapas,Hombres de 15 años y más,7,10.91727817391
2019,Chihuahua,Mujeres de 15 años y más,8,27.28934209552
2019,Chihuahua,Hombres de 15 años y más,8,11.61986915354
2019,Ciudad de México,Mujeres de 15 años y más,9,27.24415417204
2019,Ciudad de México,Hombres de 15 años y más,9,13.18441939494
2019,Durango,Mujeres de 15 años y más,10,30.485429812629995
2019,Durango,Hombres de 15 años y más,10,11.85867775057
2019,Guanajuato,Mujeres de 15 años y más,11,26.69209546984
2019,Guanajuato,Hombres de 15 años y más,11,9.89694410042
2019,Guerrero,Mujeres de 15 años y más,12,29.917563535989995
2019,Guerrero,Hombres de 15 años y más,12,10.53551923576
2019,Hidalgo,Mujeres de 15 años y más,13,29.70652769599
2019,Hidalgo,Hombres de 15 años y más,13,12.21494884032
2019,Jalisco,Mujeres de 15 años y más,14,25.24779272364
2019,Jalisco,Hombres de 15 años y más,14,11.18283359578
2019,México,Mujeres de 15 años y más,15,27.21998218361
2019,México,Hombres de 15 años y más,15,10.40119621636
2019,Michoacán de Ocampo,Mujeres de 15 años y más,16,28.45940716572
2019,Michoacán de Ocampo,Hombres de 15 años y más,16,11.32371488835
2019,Morelos,Mujeres de 15 años y más,17,25.875730412589995
2019,Morelos,Hombres de 15 años y más,17,10.907254744
2019,Nayarit,Mujeres de 15 años y más,18,26.96299933337
2019,Nayarit,Hombres de 15 años y más,18,9.49251549915
2019,Nuevo León,Mujeres de 15 años y más,19,26.16490710925
2019,Nuevo León,Hombres de 15 años y más,19,11.31879749372
2019,Oaxaca,Mujeres de 15 años y más,20,31.41623805678
2019,Oaxaca,Hombres de 15 años y más,20,12.24431221851
2019,Puebla,Mujeres de 15 años y más,21,28.03600669426
2019,Puebla,Hombres de 15 años y más,21,8.99176989447
2019,Querétaro,Mujeres de 15 años y más,22,26.92434165493
2019,Querétaro,Hombres de 15 años y más,22,10.33179471735
2019,Quintana Roo,Mujeres de 15 años y más,23,23.75013040562
2019,Quintana Roo,Hombres de 15 años y más,23,9.77901000619
2019,San Luis Potosí,Mujeres de 15 años y más,24,27.75594716819
2019,San Luis Potosí,Hombres de 15 años y más,24,10.71250602623
2019,Sinaloa,Mujeres de 15 años y más,25,25.81132386979
2019,Sinaloa,Hombres de 15 años y más,25,8.93546608331
2019,Sonora,Mujeres de 15 años y más,26,26.01279404079
2019,Sonora,Hombres de 15 años y más,26,12.03728721863
2019,Tabasco,Mujeres de 15 años y más,27,26.97490093537
2019,Tabasco,Hombres de 15 años y más,27,10.747303629
2019,Tamaulipas,Mujeres de 15 años y más,28,27.30758087153
2019,Tamaulipas,Hombres de 15 años y más,28,12.06679285853
2019,Tlaxcala,Mujeres de 15 años y más,29,27.855883889540003
2019,Tlaxcala,Hombres de 15 años y más,29,11.53423494344
2019,Veracruz de Ignacio de la Llave,Mujeres de 15 años y más,30,30.23206986297
2019,Veracruz de Ignacio de la Llave,Hombres de 15 años y más,30,10.589278287
2019,Yucatán,Mujeres de 15 años y más,31,25.851301117820004
2019,Yucatán,Hombres de 15 años y más,31,10.80529469745
2019,Zacatecas,Mujeres de 15 años y más,32,34.28818252961
2019,Zacatecas,Hombres de 15 años y más,32,11.83071076867
